2,1
3,1
4,1
50,1
58,1
61,1
65,1
73,1
78,1
81,1
93,1
108,1
126,1
137,1
160,1
171,1
246,1
250,1
267,1
317,1
5,1
6,1
7,1
40,1
72,1
154,1
173,1
175,1
233,1
266,1
269,1
38,1
8,2
27,2
31,2
36,2
39,2
43,2
44,2
45,2
79,2
80,2
146,2
9,3
28,3
10,4
47,4
10,5
85,5
11,6
62,6
122,6
157,6
161,6
278,6
12,7
33,7
113,7
13,8
49,8
51,8
13,9
46,9
97,9
14,10
141,10
275,10
15,11
16,12
17,13
18,14
19,15
30,15
20,16
21,17
22,18
23,19
24,20
25,21
277,21
26,22
34,24
35,24
37,25
41,26
42,27
48,28
52,30
63,30
53,31
54,32
55,33
142,33
143,33
56,34
57,35
59,36
60,37
132,37
64,39
88,39
282,39
66,40
92,40
314,40
70,42
71,43
74,45
76,46
130,46
77,47
82,48
101,48
215,48
83,49
176,49
86,50
87,51
89,52
90,53
234,53
107,53
91,54
94,55
95,56
96,57
98,58
99,59
123,59
291,59
152,59
174,59
285,59
100,60
238,61
102,63
140,63
103,64
145,64
159,64
104,65
105,66
272,66
289,66
106,67
109,68
110,69
111,70
112,71
133,71
114,72
116,73
117,74
119,75
120,76
121,77
125,77
124,78
127,79
128,80
129,80
134,81
135,82
136,83
138,84
139,85
144,86
147,87
148,88
150,89
153,90
155,91
283,91
156,93
183,93
158,94
165,94
258,94
164,96
167,97
182,97
168,98
169,99
172,100
177,101
178,102
179,103
226,103
180,104
184,106
185,107
186,108
188,109
216,112
217,113
218,114
219,115
220,116
221,117
309,117
311,117
224,118
225,119
261,119
227,120
228,121
229,123
230,124
231,125
232,126
307,126
245,127
235,128
237,129
239,130
240,131
242,133
243,134
244,135
247,136
251,138
252,139
253,140
254,141
290,141
305,141
316,141
255,142
256,143
257,144
276,144
259,145
306,145
260,146
318,146
262,147
265,148
268,149
270,150
271,151
273,152
274,153
279,155
280,156
281,157
284,158
286,159
287,160
288,161
292,162
308,162
293,163
294,164
295,165
303,165
296,166
297,167
298,168
299,169
301,169
300,170
302,171
304,172
310,174
312,175
313,176
315,177
